Year,Rd,Pk,Tm,Player,Age,Pos,Born,College,G/NBA,MP/NBA,PPG/NBA,RPG/NBA,APG/NBA,SPG/NBA,BPG/NBA,FG%/NBA,2P%/NBA,3P%/NBA,FT%/NBA,NBA WS,NBA WS/48,NBA PER,G/C,GS/C,MPG/C,FGM/C,FGA/C,FG%/C,2PM/C,2PA/C,2P%/C,3PM/C,3PA/C,3P%/C,FTM/C,FTA/C,FT%/C,ORPG/C,DRPG/C,RPG/C,APG/C,SPG/C,BPG/C,TOPG/C,FPG/C,PPG/C,EFG%/C,YRS/C,WS/C,WSPY/C,PER/C,SOS,BF%,Hand Length (Inches),Hand Width (Inches),Height (No Shoes),Height (Shoes),Standing Reach,Weight (lbs),Wingspan
2017,1,30,UTA,Josh Hart,22.114,G,us,Villanova University,37,18.4,5.3,3.1,0.9,0.7,0.2,0.436,0.506,0.366,0.686,1.3,0.089,10.5,146,77,28,4.6,9.1,0.511,3.2,5.4,0.592,1.4,3.6,0.389,2.5,3.4,0.72,1.7,3.8,5.6,1.8,1.1,0.3,1.3,2.2,13.2,58.9,4,22.9,5.73,23.7,8.51,0.06,8.5,9.5,6.38,6.5,8.5,209.2,6.8
2012,1,3,WAS,Bradley Beal,19.005,G,us,University of Florida,367,33.6,18.4,3.7,3.2,1,0.3,0.444,0.47,0.394,0.794,26.5,0.103,16.3,37,37,34.2,4.7,10.6,0.445,3,5.6,0.541,1.7,5,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,52.5,1,5.7,5.70,22,7.33,0.06,8.5,9,6.33,6.475,8.4,201.8,6.8
2013,1,1,CLE,Anthony Bennett,20.11,F,ca,"University of Nevada, Las Vegas",151,12.6,4.4,3.1,0.5,0.4,0.2,0.392,0.427,0.261,0.67,0.5,0.013,10.2,35,31,27.1,5.8,10.8,0.533,4.7,8.1,0.587,1,2.7,0.375,3.5,5.1,0.701,2.5,5.7,8.1,1,0.7,1.2,1.9,2.3,16.1,58,1,5.7,5.70,28.3,5.71,,,,,,,,
2015,1,8,DET,Stanley Johnson,19.031,F,us,University of Arizona,182,21.6,6.4,3.4,1.5,0.8,0.2,0.363,0.406,0.299,0.756,1.9,0.024,8,38,37,28.4,4.6,10.3,0.446,3.4,7.2,0.478,1.1,3.1,0.371,3.5,4.7,0.742,2,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,50.1,1,5.7,5.70,22.5,7.41,0.08,9,9,6.5,6.65,8.6,241.8,6.1
2016,2,34,PHO,Tyler Ulis,20.175,G,us,University of Kentucky,104,20.7,7.3,1.7,3.9,0.9,0.1,0.404,0.439,0.268,0.794,0.5,0.011,11.2,72,35,30.1,3.6,8.4,0.427,2.4,5.1,0.462,1.2,3.3,0.371,2.9,3.4,0.846,0.5,1.9,2.4,5.3,1.2,0.1,1.5,1.7,11.3,49.9,2,11.3,5.65,20.5,8.76,0.05,7.5,7.5,5.88,5.1,7.45,149.2,6.2
2015,1,14,OKC,Cameron Payne,20.326,G,us,Murray State University,88,13.2,5,1.5,1.9,0.6,0.1,0.378,0.42,0.32,0.75,1,0.042,9.9,69,69,32.4,6.3,14.6,0.432,4,8.3,0.487,2.3,6.3,0.359,3.7,4.7,0.781,0.4,3.2,3.7,5.7,1.8,0.5,2.9,2.4,18.5,50.9,2,11.3,5.65,25.3,-3.19,0.06,8.5,8.25,6.08,6.15,8.15,182.8,6.7
2014,2,34,NYK,Cleanthony Early,23.076,F,us,Wichita State University,56,14.3,4.3,2.2,0.8,0.5,0.3,0.346,0.4,0.263,0.75,-0.6,-0.039,7.2,75,58,26.2,4.9,10.5,0.47,3.4,6.2,0.555,1.5,4.3,0.348,3.7,4.6,0.819,1.8,3.8,5.7,0.7,0.8,0.8,1.7,2.4,15.1,54.1,2,11.3,5.65,26,3.91,0.04,8.5,9,6.6,6.725,8.55,209.4,6.1
2009,2,60,MIA,Robert Dozier,,,,University of Memphis,,,,,,,,,,,,,,0,148,111,25,3.3,7.1,0.466,3,6,0.493,0.3,1.1,0.312,2.4,3.4,0.692,2.6,3.9,6.5,1,1,1.5,1.7,2.6,9.3,49,4,22.5,5.63,,4.63,,,,,,,,
2017,1,14,MIA,Bam Adebayo,19.344,C-F,us,University of Kentucky,33,20.1,6.9,4.9,1.3,0.6,0.6,0.563,0.574,0,0.747,2.3,0.167,16.5,38,38,30.1,4.5,7.5,0.599,4.5,7.5,0.599,0,0,,4.1,6.2,0.653,3.1,4.9,8,0.8,0.7,1.5,1.7,2.6,13,59.9,1,5.6,5.60,22,10.49,0.05,9.5,8.75,6.88,6.975,9,242.6,7.2
2014,1,22,MEM,Jordan Adams,19.358,G,us,"University of California, Los Angeles",32,8.2,3.2,0.9,0.6,0.6,0.2,0.402,0.409,0.385,0.607,0.4,0.07,13.1,69,63,30.2,5.4,11.6,0.467,4,7.3,0.548,1.4,4.3,0.331,4.2,5,0.839,1.3,3.3,4.6,2.1,2.4,0.2,1.4,2.1,16.4,52.9,2,11.2,5.60,26.1,7.72,0.11,8.5,7.5,6.35,6.475,8.6,208.8,6.1
