Year,Rd,Pk,Tm,Player,Age,Pos,Born,College,G/NBA,MP/NBA,PPG/NBA,RPG/NBA,APG/NBA,SPG/NBA,BPG/NBA,FG%/NBA,2P%/NBA,3P%/NBA,FT%/NBA,NBA WS,NBA WS/48,NBA PER,G/C,GS/C,MPG/C,FGM/C,FGA/C,FG%/C,2PM/C,2PA/C,2P%/C,3PM/C,3PA/C,3P%/C,FTM/C,FTA/C,FT%/C,ORPG/C,DRPG/C,RPG/C,APG/C,SPG/C,BPG/C,TOPG/C,FPG/C,PPG/C,EFG%/C,YRS/C,WS/C,WSPY/C,PER/C,SOS,BF%,Hand Length (Inches),Hand Width (Inches),Height (No Shoes),Height (Shoes),Standing Reach,Weight (lbs),Wingspan
2010,2,44,MIL,Jerome Jordan,23.274,C,jm,University of Tulsa,65,7.6,2.8,2,0.3,0.1,0.3,0.528,0.528,,0.852,1.7,0.168,17.1,133,119,24.2,4.1,7.2,0.567,4.1,7.2,0.567,0,0,,3.1,4.5,0.696,2.2,5.2,7.4,0.8,0.4,2.5,2,2.5,11.3,56.7,4,20.9,5.23,,2.63,0.07,9,10.25,6.12,7.075,9.5,244.2,7.5
2008,1,3,MIN,O.J. Mayo,20.239,G,us,University of Southern California,547,30.9,13.8,3.1,2.9,1,0.3,0.429,0.459,0.373,0.82,21.8,0.062,13.4,33,32,36.8,7.2,16.2,0.442,4.5,9.7,0.464,2.7,6.5,0.409,3.7,4.6,0.803,1.1,3.5,4.5,3.3,1.5,0.4,3.5,2.4,20.7,52.4,1,5.2,5.20,,8.59,0.06,,,6.33,6.425,8.35,200,6.6
2017,2,51,DEN,Monte Morris,22.001,G,us,Iowa State University,1,3,0,0,1,0,0,0,,0,,0,-0.196,-2.6,140,121,33.8,4.5,9.5,0.476,3.5,6.7,0.517,1.1,2.9,0.381,2,2.6,0.78,0.8,2.9,3.7,5.5,1.6,0.3,1.2,1.5,12.2,53.3,4,20.8,5.20,20.5,10.28,0.07,8.25,8.75,6.13,6.25,8.05,175.2,6.4
2010,2,37,MIL,Darington Hobson,22.274,G,us,University of New Mexico,5,7.8,0.8,0.6,1.2,0,0,0.154,0.286,0,,-0.2,-0.225,-3.3,35,35,33.6,5.5,12.5,0.44,4.4,9.5,0.465,1.1,3.1,0.361,3.7,5.7,0.653,2.1,7.1,9.3,4.6,1.3,0.4,3,1.9,15.9,48.4,1,5.2,5.20,,3.84,,,,,,,,
2010,1,24,ATL,Damion James,22.266,G-F,us,University of Texas at Austin,39,16,3.8,3.4,0.7,0.6,0.5,0.415,0.433,0,0.667,0,-0.001,8.5,142,140,29.3,5,10.4,0.479,4.2,8.4,0.506,0.7,2,0.364,2.8,4.4,0.64,2.9,6.3,9.3,1.1,1,1.1,1.8,2.8,13.5,51.4,4,20.7,5.18,,7.54,0.1,9.25,8.5,6.63,6.775,8.11,226.6,7
2012,1,23,ATL,John Jenkins,21.12,G,us,Vanderbilt University,145,12.8,5.1,1.5,0.8,0.2,0.1,0.448,0.513,0.364,0.849,2.7,0.071,12,98,74,30.6,5.3,11.2,0.468,2.1,4.1,0.521,3.1,7.1,0.438,3.3,3.8,0.856,0.4,2.3,2.7,1.1,0.7,0.3,1.3,1.2,16.9,60.7,3,15.5,5.17,23.6,7.59,0.07,9,9,6.33,6.425,8.2,212,6.8
2009,1,15,DET,Austin Daye,21.025,F,us,Gonzaga University,293,14.1,5.2,2.6,0.7,0.4,0.4,0.402,0.433,0.351,0.778,4.5,0.053,11.6,67,34,22.5,4.1,8.6,0.477,3.2,6.4,0.495,0.9,2.2,0.422,2.5,3.1,0.79,0.9,4.9,5.8,1,0.7,1.9,1.9,2.6,11.6,53,2,10.3,5.15,,2.85,0.06,,,6.98,6.1075,9.2,191.8,7.2
2015,2,49,WAS,Aaron White,22.293,F,us,University of Iowa,,,,,,,,,,,,,,0,140,119,28.1,4.2,8.2,0.517,3.8,6.6,0.572,0.4,1.6,0.281,4.4,5.7,0.773,2.1,4.4,6.4,1.4,1.1,0.6,1.5,1.6,13.3,54.3,4,20.6,5.15,24.9,7.32,0.08,8.75,9.25,6.78,6.875,8.105,219.8,6.1
2013,1,10,POR,C.J. McCollum,21.287,G,us,Lehigh University,302,28.3,16.7,2.8,2.8,0.9,0.3,0.457,0.477,0.414,0.848,19.4,0.109,17.4,111,108,32.9,6.9,15.7,0.439,5,10.5,0.47,2,5.2,0.377,5.5,6.7,0.825,1.5,4.8,6.3,2.7,2.1,0.5,2.4,1.8,21.3,50.1,4,20.5,5.13,29.1,-5.41,0.09,8,9.5,6.23,6.325,8.05,197,6.6
2009,2,40,CHA,Derrick Brown,21.296,F,us,Xavier University,171,14.9,5.2,2.4,0.7,0.5,0.2,0.515,0.528,0.317,0.637,4.5,0.085,13.8,106,72,25,3.7,6.5,0.573,3.2,5.3,0.61,0.5,1.2,0.415,2.4,3.3,0.718,1.9,3.7,5.6,1.5,0.7,0.8,1.6,2.5,10.3,61.2,3,15.3,5.10,,4.5,0.09,,,6.75,6.85,8.115,224.6,7.2
2008,1,21,NJN,Ryan Anderson,20.056,F,us,University of California,596,26.6,13,5.4,0.9,0.5,0.4,0.423,0.47,0.38,0.858,45,0.136,16.83,66,66,33,6.3,13.1,0.484,4.5,8.5,0.532,1.8,4.7,0.396,4.2,5,0.841,2.7,6.3,9,1,0.5,0.5,1.8,2.5,18.7,55.4,2,10.2,5.10,,8.56,,,,,,,,
2013,2,34,HOU,Isaiah Canaan,22.043,G,us,Murray State University,197,20.3,8.5,1.8,1.8,0.6,0.1,0.37,0.401,0.353,0.838,4.3,0.052,11.2,132,83,29.4,4.8,10.7,0.45,2.5,5.2,0.483,2.3,5.5,0.419,3.6,4.5,0.803,0.6,2.2,2.8,2.9,1.2,0.1,2.4,1.8,15.5,55.8,4,20.4,5.10,22.9,-3.56,0.06,8.25,9.5,5.11,6,7.105,188.4,6.4
2017,1,5,SAC,DeAaron Fox,19.189,G,us,University of Kentucky,35,26.4,10.3,2.7,4.2,1,0.2,0.405,0.425,0.298,0.69,-0.8,-0.041,10.3,36,34,29.6,5.9,12.4,0.479,5.5,10.5,0.521,0.5,1.9,0.246,4.3,5.9,0.736,0.6,3.4,4,4.6,1.5,0.2,2.4,2.5,16.7,49.8,1,5.1,5.10,22.6,10.49,0.05,8.5,8.5,6.2,6.325,8.4,169.6,6.6
2013,2,57,PHO,Alex Oriakhi,23.012,F,us,University of Missouri,,,,,,,,,,,,,,0,143,130,25.5,3.1,5.9,0.53,3.1,5.9,0.531,0,0,0,1.9,3,0.641,2.8,4.4,7.2,0.3,0.4,1.5,1.2,2.3,8.2,53,4,20.4,5.10,19.4,8.41,,,,,,,,
2010,2,42,MIA,DaSean Butler,,,,West Virginia University,,,,,,,,,,,,,,0,146,110,30.8,5.1,11.3,0.448,3.7,7.3,0.5,1.4,4,0.353,2.8,3.8,0.732,1.8,3.6,5.5,1.9,1.1,0.2,1.7,2.3,14.3,51,4,20.4,5.10,,7.8,,,,,,,,
2016,2,36,MIL,Malcolm Brogdon,23.2,G,us,University of Virginia,116,28.1,11.3,3,3.9,1,0.2,0.467,0.5,0.394,0.865,6.4,0.095,14.7,136,109,30.6,4.4,10.3,0.43,3.1,6.6,0.466,1.4,3.7,0.365,3.1,3.5,0.876,0.6,3.5,4.1,2.5,0.9,0.2,1.5,1.8,13.3,49.6,4,20.3,5.08,20.6,7.76,0.05,9,10.25,6.38,6.55,8.2,223,6.1
2011,1,14,HOU,Marcus Morris,21.299,F,us,University of Kansas,438,26.1,10.9,4.3,1.5,0.7,0.3,0.427,0.47,0.355,0.722,20.2,0.085,12.9,109,90,24,4.7,8.4,0.555,4.3,7.3,0.585,0.4,1.1,0.358,2.9,4.3,0.66,2.4,3.8,6.2,1.3,0.9,0.4,1.6,2.6,12.6,57.9,3,15.2,5.07,20.7,7.92,0.08,8.25,8.5,6.7,6.875,8.95,229.6,6.1
2012,2,40,POR,Will Barton,21.179,G,us,University of Memphis,356,21.4,9.7,3.7,2.1,0.7,0.4,0.428,0.473,0.334,0.778,12,0.076,14.7,70,59,32.9,5.7,12,0.471,4.6,8.4,0.546,1.1,3.6,0.299,2.7,3.7,0.733,1.7,4.8,6.5,2.9,1.5,0.6,2.3,2.2,15.2,51.7,2,10.1,5.05,22.1,4.2,0.04,9,9.5,6.5,6.6,8.65,174.4,6.9
2014,1,24,CHH,Shabazz Napier,22.353,G,us,University of Connecticut,196,14.8,5.4,1.6,1.9,0.7,0.1,0.407,0.438,0.37,0.789,3.7,0.061,12.5,143,98,32.3,4.2,10.1,0.411,2.3,5.3,0.444,1.8,4.8,0.375,3.6,4.4,0.813,0.7,3.3,4,4.5,1.8,0.2,2.4,2.1,13.7,50.1,4,20.2,5.05,21.6,8.64,0.07,8.25,8.5,5.11,6.1,7.9,175.2,6.3
2011,2,44,GSW,Charles Jenkins,22.12,G,us,Hofstra University,110,12.1,3.7,0.9,1.9,0.4,0.1,0.434,0.449,0.182,0.754,0.5,0.017,10.7,128,128,35.9,6.6,14.5,0.456,5.2,10.8,0.482,1.4,3.7,0.382,5,6.2,0.811,1,3.3,4.3,3.8,1.7,0.6,3,2.5,19.6,50.5,4,20.2,5.05,14.8,-1.45,0.04,8.5,9,6.15,6.325,8.05,216.4,6.7
2013,2,36,SAC,Ray McCallum,22.021,G,us,University of Detroit Mercy,154,18.2,6,2,2.4,0.5,0.2,0.408,0.43,0.335,0.711,2.1,0.035,11,102,101,34.5,5.4,11.5,0.465,4.4,8.2,0.536,1,3.3,0.29,4.2,5.8,0.723,1.2,3.5,4.8,4.4,1.7,0.3,2.3,2.1,15.9,50.7,3,15.1,5.03,22.8,0.84,0.07,8,8.75,6.03,6.175,8.05,191.4,6.3
2009,1,16,CHI,James Johnson,22.131,F,us,Wake Forest University,508,20.2,7.7,3.6,2,0.8,1,0.478,0.527,0.299,0.696,19,0.089,14.8,61,59,29.9,5.8,11.2,0.515,4.9,8.4,0.587,0.8,2.8,0.296,2.5,3.6,0.693,2.8,5.5,8.3,1.6,1.4,1.4,2.5,3,14.8,55.1,2,10,5.00,,8.09,0.12,,,6.7,6.775,8.95,257.2,7
2014,2,40,MIN,Glenn Robinson III,20.174,G-F,us,University of Michigan,149,14.7,4.4,2.4,0.6,0.4,0.2,0.448,0.483,0.376,0.698,3.4,0.075,11.1,76,76,33,4.6,8.8,0.525,3.9,6.4,0.603,0.7,2.4,0.313,2.1,2.9,0.718,1.8,3.1,4.9,1.1,1,0.3,1,1.3,12,56.7,2,10,5.00,19.4,9.85,0.05,9,9.5,6.55,6.675,8.45,211.4,6.1
2017,1,10,SAC,Zach Collins,19.22,C-F,us,Gonzaga University,27,14.5,4.1,2.9,0.8,0.3,0.4,0.402,0.439,0.314,0.438,0.2,0.02,7.4,39,0,17.3,3.5,5.3,0.652,3.2,4.8,0.672,0.3,0.5,0.476,2.8,3.8,0.743,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10,67.6,1,5,5.00,30.9,4.13,0.09,8.75,9.25,6.1,7,9.3,232.2,7.1
2008,1,13,POR,Brandon Rush,22.36,G-F,us,University of Kansas,481,22,6.8,2.9,1,0.5,0.5,0.426,0.447,0.402,0.706,11.2,0.051,9.9,109,101,31.3,4.9,10.9,0.449,3,6.6,0.458,1.9,4.3,0.435,1.8,2.5,0.733,1.5,4,5.5,2,0.7,0.8,2.1,1.5,13.6,53.5,3,14.9,4.97,,7.56,,,,,,,,
2012,1,12,HOU,Jeremy Lamb,20.034,G-F,us,University of Connecticut,316,18.1,8.8,3.2,1.3,0.6,0.3,0.441,0.504,0.328,0.83,13.4,0.112,15.5,75,74,32.1,5.3,11,0.482,3.8,6.6,0.573,1.6,4.5,0.348,1.9,2.4,0.806,1.1,3.6,4.7,1.7,1,0.6,1.6,1.6,14.1,55.3,2,9.9,4.95,21.3,9.25,0.05,8.75,9.25,6.4,6.525,8.6,179.2,6.1
2009,2,36,MEM,Sam Young,24.03,F,us,University of Pittsburgh,249,15.9,5.8,2.3,0.7,0.5,0.2,0.442,0.468,0.28,0.742,5.2,0.063,11.5,143,78,25.5,5,10.1,0.498,4.2,7.8,0.539,0.8,2.3,0.356,2.4,3.4,0.692,1.8,3.2,5,1,0.8,0.8,1.9,1.7,13.2,53.8,4,19.7,4.93,,8,0.05,,,6.53,6.675,8.95,222.8,6.1
2011,2,48,ATL,Keith Benson,22.319,C,us,Oakland University,3,3,0,1,0,0,0,0,0,,,0,-0.005,6,135,126,26.8,5.1,9.1,0.558,5,8.9,0.562,0.1,0.2,0.379,3.9,5.7,0.679,2.5,5.7,8.2,0.7,0.5,2.7,1.4,2.8,14.1,56.2,4,19.7,4.93,18.1,-1.32,0.06,9.5,11,6.1,6.11,9.15,217,7.3
2014,1,1,CLE,Andrew Wiggins,19.128,F-G,ca,University of Kansas,290,36.2,20,4.1,2.1,1,0.5,0.448,0.472,0.327,0.745,12,0.055,15.3,35,35,32.8,5.4,12.1,0.448,4.2,8.5,0.493,1.2,3.6,0.341,5,6.5,0.775,2.2,3.7,5.9,1.5,1.2,1,2.3,2.7,17.1,49.9,1,4.9,4.90,21.4,11.4,,,,,,,,
2014,1,19,CHI,Gary Harris,19.29,G,us,Michigan State University,227,27.7,11.6,2.5,2,1.2,0.2,0.468,0.543,0.363,0.793,11.6,0.088,13.8,69,67,31,5,11.4,0.44,2.9,5.7,0.503,2.1,5.6,0.376,2.7,3.5,0.788,1,2.3,3.3,2,1.6,0.3,1.6,2,14.9,53.3,2,9.8,4.90,21,9.96,0.05,8.5,9.5,6.25,6.45,8,204.8,6.6
2016,1,2,LAL,Brandon Ingram,18.299,F,us,Duke University,119,30.6,11.6,4.5,2.5,0.7,0.5,0.428,0.459,0.311,0.647,1.2,0.016,10.1,36,34,34.6,5.9,13.4,0.442,3.7,8,0.464,2.2,5.4,0.41,3.2,4.7,0.682,1.9,4.9,6.8,2,1.1,1.4,2,2.1,17.3,52.5,1,4.9,4.90,22.5,10.59,,,,,,,,
2010,2,43,LAL,Devin Ebanks,20.244,F,us,West Virginia University,63,11.3,3.6,1.9,0.4,0.3,0.2,0.385,0.418,0.222,0.722,0.5,0.035,9.6,69,65,32.1,4,8.6,0.463,3.9,7.6,0.51,0.1,1,0.114,3.1,4.2,0.736,2.8,5.2,7.9,2.6,0.9,0.7,2.1,1.7,11.2,47,2,9.8,4.90,,9.3,0.08,8.25,9,6.7,6.825,8.115,207.8,7
2010,1,12,MEM,Xavier Henry,19.106,G,be,University of Kansas,185,15.7,5.7,1.9,0.6,0.5,0.1,0.406,0.419,0.325,0.635,0.8,0.013,9.3,36,36,27.5,4.5,9.8,0.458,2.6,5.3,0.492,1.9,4.6,0.418,2.5,3.2,0.783,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4,55.5,1,4.9,4.90,,8.25,0.05,8.75,10,6.53,6.65,8.9,210.2,6.1
2017,1,4,PHO,Josh Jackson,20.137,F-G,us,University of Kansas,42,22.1,9.7,3.7,1.3,0.9,0.3,0.39,0.432,0.272,0.578,-0.8,-0.041,8.9,35,35,30.8,6.3,12.3,0.513,5.3,9.7,0.549,1,2.6,0.378,2.8,4.9,0.566,2.3,5.1,7.4,3,1.7,1.1,2.8,3,16.3,55.2,1,4.9,4.90,24.1,12.23,,,,,,,,
2008,2,37,MIL,Luc Mbah a Moute,21.296,F,cm,"University of California, Los Angeles",645,23.2,6.3,4.2,0.9,0.9,0.4,0.452,0.473,0.331,0.659,24,0.077,10.7,107,106,29.5,3.4,6.8,0.503,3.2,6,0.545,0.2,0.9,0.215,1.7,2.5,0.668,2.6,4.7,7.2,1.6,1.3,0.6,1.8,2.2,8.7,51.6,3,14.7,4.90,,8.6,0.07,,,6.58,6.75,8.75,221,7.2
2008,2,49,GSW,Richard Hendrix,,,,University of Alabama,,,,,,,,,,,,,,0,95,86,28.4,5.5,9.3,0.59,5.5,9.2,0.596,0,0.1,0.231,2.9,4.9,0.594,3.3,5.6,8.9,1.4,0.9,1.6,1.9,2.8,14,59.2,3,14.7,4.90,,6.67,0.09,,,6.68,6.875,9,250,7.3
2010,1,15,MIL,Larry Sanders,21.22,C-F,us,Virginia Commonwealth University,238,19.5,6.4,5.7,0.7,0.6,1.8,0.48,0.481,0,0.553,10.3,0.107,15.4,101,82,23.5,4.1,7.9,0.52,4.1,7.7,0.526,0,0.2,0.25,2.1,3.6,0.577,2.5,5.2,7.7,0.5,0.6,2.7,1.5,3.1,10.3,52.3,3,14.6,4.87,,-0.69,0.05,9.75,11,6.93,6.105,9.4,222.4,7.5
2017,2,35,ORL,Ivan Rabb,20.143,F,us,University of California,4,2,1.5,1,0.3,0,0,0.6,0.6,,,0,0.112,26.9,65,64,30.6,4.8,8.8,0.544,4.7,8.5,0.549,0.1,0.3,0.409,3.5,5.2,0.666,2.9,6.6,9.4,1.2,0.6,1.1,1.8,3.1,13.2,55.1,2,9.7,4.85,22.9,7.1,0.07,8.75,9,6.88,6.1,9.1,219.6,7.1
2010,2,52,BOS,Luke Harangody,22.179,F,us,University of Notre Dame,70,12.4,3.6,2.8,0.5,0.3,0.3,0.376,0.44,0.241,0.737,0.9,0.048,10.2,129,108,29.2,7.3,15.3,0.476,6.9,14.3,0.486,0.3,1,0.326,4.4,5.6,0.782,3,6.5,9.5,1.6,0.8,0.7,1.8,2.4,19.2,48.6,4,19.4,4.85,,6.73,0.11,8.75,9.75,6.6,6.775,8.1,240.2,6.9
2010,1,25,MEM,Dominique Jones,21.257,G,us,University of South Florida,80,9.3,3.1,1.4,1.8,0.4,0.1,0.366,0.393,0.095,0.729,0.3,0.017,11.9,95,94,36.5,6.2,14.1,0.442,4.5,8.9,0.512,1.7,5.2,0.323,4.8,6.5,0.737,1.5,3.9,5.4,3.5,1.5,0.4,2.6,2.6,18.9,50.2,3,14.5,4.83,,7.32,0.06,9,10.25,6.33,6.5,8.5,216,6.9
2011,2,55,BOS,ETwaun Moore,22.12,G,us,Purdue University,422,20.1,7.2,1.8,1.8,0.6,0.2,0.45,0.484,0.383,0.738,10,0.056,11.5,140,135,32.3,5.6,12.7,0.44,3.8,8.1,0.473,1.7,4.6,0.38,2.4,3.3,0.729,1.1,3.3,4.4,2.9,1.2,0.4,2.1,2.3,15.3,50.8,4,19.3,4.83,11.3,7.64,0.08,9,10,6.25,6.4,8.35,191.4,6.9
2010,1,3,NJN,Derrick Favors,18.349,F-C,us,Georgia Institute of Technology,518,26,11.5,7.1,1.1,0.8,1.3,0.513,0.516,0.196,0.668,37,0.132,18.6,36,35,27.5,5,8.1,0.611,5,8.1,0.613,0,0,0,2.5,4,0.629,3,5.4,8.4,1,0.9,2.1,2.5,2.6,12.4,61.1,1,4.8,4.80,,9.02,0.07,8.75,9.25,6.88,6.1025,9.2,245.2,7.4
2009,1,21,NOH,Darren Collison,21.312,G,us,"University of California, Los Angeles",605,29.6,12.7,2.6,4.9,1.1,0.1,0.471,0.496,0.385,0.854,40,0.107,16,141,104,29.4,4,8.3,0.478,2.8,5.7,0.496,1.2,2.6,0.439,2.5,2.9,0.85,0.4,1.8,2.3,4.1,1.6,0.1,2.4,1.4,11.6,54.8,4,19.2,4.80,,8.25,0.06,,,6.03,6.15,8.05,166.2,6.3
2012,2,35,GSW,Draymond Green,22.122,F,us,Michigan State University,435,27.2,9.2,6.8,4.4,1.4,1.1,0.437,0.501,0.331,0.703,36.9,0.15,15.8,145,66,25,3.7,8,0.467,3.1,6.3,0.496,0.6,1.7,0.361,2.3,3.4,0.687,2,5.6,7.6,2.9,1.2,0.8,1.9,2.7,10.5,50.6,4,19.2,4.80,22.4,9.75,0.11,9,9.5,6.58,6.75,8.9,235.6,7.1
2015,1,30,GSW,Kevon Looney,19.144,F-C,us,"University of California, Los Angeles",92,8.9,2.7,2.4,0.5,0.3,0.4,0.552,0.571,0.273,0.6,2.6,0.152,14,36,36,30.9,4.2,8.9,0.47,3.6,7.4,0.481,0.6,1.5,0.415,2.6,4.1,0.626,3.4,5.8,9.2,1.4,1.3,0.9,1.3,2.9,11.6,50.5,1,4.8,4.80,21.9,8.27,0.12,9.5,9.25,6.8,6.925,9.2,222.4,7.3
2011,2,50,PHI,Lavoy Allen,22.144,F-C,us,Temple University,388,17.8,4.8,4.8,1,0.3,0.6,0.471,0.474,0.133,0.682,13.8,0.096,12.5,135,130,32.2,4.4,8.2,0.534,4.2,7.7,0.549,0.1,0.5,0.288,1.6,2.4,0.671,3,5.5,8.5,2.1,0.5,1.6,1.4,2.5,10.5,54.2,4,19.2,4.80,11.7,4.24,,,,,,,,
2008,1,11,IND,Jerryd Bayless,19.315,G,us,University of Arizona,546,21.5,8.6,2.1,2.8,0.6,0.1,0.415,0.438,0.367,0.824,18.6,0.076,12.5,30,30,35.7,5.8,12.6,0.458,3.8,7.8,0.489,2,4.8,0.407,6.2,7.4,0.839,0.4,2.3,2.7,4,1,0.1,3,2.2,19.7,53.6,1,4.8,4.80,,10.22,0.05,,,6.18,6.3,8.1,204,6.3
2017,2,34,SAC,Frank Mason,23.086,G,us,University of Kansas,29,18.6,7.6,2.1,2.9,0.5,0.1,0.385,0.376,0.419,0.762,0.1,0.009,12.4,145,113,30,4.2,9.2,0.454,2.9,6.2,0.471,1.3,3,0.42,3.3,4.4,0.761,0.5,2.9,3.4,4,1.1,0.1,1.9,2,13,52.4,4,19.2,4.80,19.6,11.74,0.04,8,9.25,5.11,6,7.1,188.8,6.3
2013,1,8,DET,Kentavious Caldwell-Pope,20.134,G,us,University of Georgia,350,30.6,11.8,3.2,1.6,1.2,0.2,0.406,0.462,0.335,0.78,16.5,0.074,11.8,64,60,33,5.3,12.7,0.415,3,5.9,0.504,2.3,6.9,0.339,2.9,3.9,0.752,1.3,4.8,6.1,1.5,1.9,0.4,1.6,2.2,15.8,50.7,2,9.6,4.80,24,7.02,0.06,8.5,9,6.45,6.55,8.45,203.6,6.8
2015,1,9,CHO,Frank Kaminsky,22.087,F-C,us,University of Wisconsin,194,23.4,9.8,4.2,1.6,0.5,0.5,0.409,0.458,0.337,0.751,7.2,0.076,12.9,144,79,20.4,3.7,7,0.522,3,5.1,0.58,0.7,1.9,0.369,2.1,2.7,0.763,1.3,3.4,4.6,1.3,0.5,1.1,0.8,1.6,10.1,57.3,4,19.1,4.78,29.6,9.61,0.09,8.5,9.5,6.12,7.075,9.15,231.2,6.1
2009,2,31,SAC,Jeff Pendergraph,22.063,F,us,Arizona State University,237,9.8,2.9,2.7,0.4,0.2,0.3,0.553,0.554,0.4,0.776,6.3,0.131,12.4,126,120,30.2,4.8,8.4,0.58,4.8,8.3,0.585,0,0.1,0,2.9,3.8,0.764,2.7,4.8,7.5,0.8,0.5,1,1.8,3.1,12.6,58,4,19.1,4.78,,7.3,0.06,,,6.88,6.1,8.11,239.6,7.1
2015,1,16,BOS,Terry Rozier,21.105,G,us,University of Louisville,157,16.5,5.7,3.1,1.6,0.6,0.1,0.37,0.395,0.338,0.781,3.8,0.071,11.5,73,45,26.8,4.2,10.3,0.408,3.1,6.8,0.447,1.2,3.5,0.331,2.4,3.1,0.772,1,3.3,4.3,2.4,1.5,0.1,1.4,1.6,12,46.3,2,9.5,4.75,20.6,6.89,0.06,8.25,8.5,6.05,6.225,8.25,190.2,6.8
2017,1,24,UTA,Tyler Lydon,21.079,F,us,Syracuse University,1,2,0,0,0,0,0,,,,,0,-0.005,0,71,34,33.1,3.9,8.2,0.476,2.5,4.8,0.531,1.4,3.5,0.4,2.4,2.9,0.809,2,5.4,7.4,1.6,1.1,1.6,1.5,2.6,11.6,56,2,9.5,4.75,20.3,9.11,0.14,8.75,8.75,6.83,6.95,8.115,215,7
2011,1,26,DAL,Jordan Hamilton,20.265,G-F,us,University of Texas at Austin,151,13.9,5.9,2.8,0.8,0.5,0.2,0.408,0.451,0.357,0.67,3,0.069,13.4,70,36,26.2,5.2,12.2,0.43,3.1,6.6,0.475,2.1,5.6,0.377,1.9,2.7,0.71,1.5,4.2,5.7,1.8,0.8,0.5,1.8,1.5,14.5,51.6,2,9.4,4.70,23.3,7.67,0.1,9,9.25,6.68,6.85,8.8,228.4,6.9
2016,1,14,CHI,Denzel Valentine,22.225,G,us,Michigan State University,100,22,7.1,3.8,1.9,0.6,0.1,0.392,0.419,0.375,0.763,2.3,0.051,9.8,144,116,29,4,9.1,0.442,2.2,4.6,0.476,1.8,4.5,0.408,1.5,2,0.779,1.1,4.8,5.9,4.4,0.9,0.3,2.2,2.1,11.4,54.4,4,18.8,4.70,20.4,9.21,0.09,8.5,9.75,6.4,6.575,8.6,210.4,6.1
2014,1,17,BOS,James Young,18.319,G-F,us,University of Kentucky,89,8.4,2.3,1.1,0.3,0.3,0.1,0.367,0.536,0.276,0.548,0.7,0.047,7.6,40,39,32.4,4.6,11.3,0.407,2.5,5.4,0.47,2.1,5.9,0.349,3.1,4.4,0.706,1,3.3,4.3,1.7,0.8,0.2,1.9,2.1,14.3,49.8,1,4.7,4.70,16.6,9.89,0.05,9,9.5,6.53,6.675,8.8,213.3,7
2008,1,22,ORL,Courtney Lee,22.272,G,us,Western Kentucky University,720,28.2,10,2.7,1.7,1,0.3,0.451,0.483,0.39,0.856,37.4,0.089,12.3,127,127,31.2,6.3,13.6,0.464,4.4,8.8,0.498,1.9,4.8,0.401,3.1,3.7,0.817,1.7,3.5,5.2,2.2,1.9,0.6,2.5,2.5,17.6,53.5,4,18.7,4.68,,-1.08,,,,,,,,
2011,2,36,NJN,Jordan Williams,20.26,F,us,University of Maryland,43,14.8,4.6,3.6,0.3,0.5,0.3,0.507,0.507,,0.652,1.3,0.101,14.5,66,64,28.6,5.1,9.7,0.528,5.1,9.7,0.528,0,0,,3,5.3,0.559,3.3,6.9,10.2,0.4,0.7,1.2,1.3,2.6,13.2,52.8,2,9.3,4.65,23.2,6.85,0.12,9.25,10,6.78,6.9,8.105,247.2,7
2012,1,7,GSW,Harrison Barnes,20.034,F,us,University of North Carolina,430,30.1,12.6,4.9,1.5,0.7,0.2,0.453,0.483,0.367,0.784,24.8,0.092,13.2,75,73,29.3,5.8,13.6,0.43,4.3,9.1,0.469,1.5,4.4,0.349,3.1,4.3,0.734,2,3.5,5.5,1.3,0.9,0.4,1.9,1.9,16.3,48.7,2,9.3,4.65,20.3,8.61,0.1,9,8.5,6.7,6.8,8.55,227.8,6.1
2014,1,30,SAS,Kyle Anderson,20.284,F-G,us,"University of California, Los Angeles",219,16.5,4.4,3.4,1.6,0.8,0.4,0.462,0.482,0.333,0.761,9.6,0.128,13.1,71,70,31.6,4.3,9.4,0.452,3.8,8.1,0.465,0.5,1.4,0.375,3.1,4.3,0.736,1.7,7,8.7,5,1.8,0.8,2.6,1.9,12.2,47.9,2,9.3,4.65,22.6,7.72,0.13,8.25,8.75,6.75,6.85,8.115,230.1,7.2
2008,1,29,DET,D.J. White,21.305,F,us,Indiana University,138,15.3,5.9,3.2,0.6,0.3,0.4,0.507,0.507,0.333,0.72,3.8,0.087,14.5,99,97,30.6,5.5,9.8,0.562,5.5,9.8,0.563,0,0,0.333,3.5,5.1,0.69,2.4,5.1,7.6,0.9,0.7,2,1.7,2.6,14.6,56.3,4,18.5,4.63,,7.95,,,,,,,,
2012,1,19,ORL,Andrew Nicholson,22.208,F,ca,St. Bonaventure University,285,14.3,6,3,0.4,0.3,0.3,0.467,0.498,0.321,0.773,3.8,0.045,12.2,123,118,29.9,6.6,11.4,0.575,6.3,10.8,0.586,0.2,0.6,0.377,3.7,5.1,0.72,2.2,5,7.2,0.7,0.5,2,2.4,3,17.1,58.5,4,18.5,4.63,22,1.35,0.08,10,10.75,6.85,6.95,8.11,234,7.4
